id,path_or_uri,sha256,source,description,access_instructions
problem-c,problem/C题.pdf,2c098f6ae9dd47ae965aebdec3b9facf3de6c173f999783c1012c08fc5fb9d2d,用户提供：C题.pdf,用户提供的C题题面原件,随任务分支codex/T-001-yuchi-model-planning拉取；运行python scripts/check_inputs.py校验，原件只读。
attachment-1,data/raw/附件1.xlsx,66b87134f5ecccd68184d3539bb1293ef039f9e0fdd955a589b9bfa7f227c377,用户提供：附件/附件1.xlsx,原始数据附件,随任务分支codex/T-001-yuchi-model-planning拉取；运行python scripts/check_inputs.py校验，原件只读。
attachment-2,data/raw/附件2.xlsx,2e95fd446bfafa0d8c59577b5c2e2ea8b3f1def20dde54a3062556f4da9b4c72,用户提供：附件/附件2.xlsx,原始数据附件,随任务分支codex/T-001-yuchi-model-planning拉取；运行python scripts/check_inputs.py校验，原件只读。
attachment-3,data/raw/附件3.xlsx,8a61b06c52bd0d639a1cc37c61a7d9f5b75edcbca718f64c1bd3498ec9f9d843,用户提供：附件/附件3.xlsx,原始数据附件,随任务分支codex/T-001-yuchi-model-planning拉取；运行python scripts/check_inputs.py校验，原件只读。
attachment-4,data/raw/附件4.xlsx,20e9c93aeab5e8e21ae4dd15587f9e190f7408692504c1319598461cd654fe71,用户提供：附件/附件4.xlsx,原始数据附件,随任务分支codex/T-001-yuchi-model-planning拉取；运行python scripts/check_inputs.py校验，原件只读。
template-result1,data/templates/result1.xlsx,28360e0974e7d6065394a8aba4e14a86773ae0036cc7d3ea1b211b515b03d688,用户提供：附件/附件5/result1.xlsx,原始空白结果模板，不是求解结果,随任务分支codex/T-001-yuchi-model-planning拉取；运行python scripts/check_inputs.py校验，原件只读。
template-result2,data/templates/result2.xlsx,1c26494cfc6d754e0bd9bff7e13e1126a73d2d2da6c5336eb251d89b9a1a1a47,用户提供：附件/附件5/result2.xlsx,原始空白结果模板，不是求解结果,随任务分支codex/T-001-yuchi-model-planning拉取；运行python scripts/check_inputs.py校验，原件只读。
template-result3,data/templates/result3.xlsx,c59da470cabd0be23f602c95c8aa9d11ec224a0cdac216b3e1f218e65d006bdc,用户提供：附件/附件5/result3.xlsx,原始空白结果模板，不是求解结果,随任务分支codex/T-001-yuchi-model-planning拉取；运行python scripts/check_inputs.py校验，原件只读。
template-result4-2,data/templates/result4-2.xlsx,1c26494cfc6d754e0bd9bff7e13e1126a73d2d2da6c5336eb251d89b9a1a1a47,用户提供：附件/附件5/result4-2.xlsx,原始空白结果模板，不是求解结果,随任务分支codex/T-001-yuchi-model-planning拉取；运行python scripts/check_inputs.py校验，原件只读。
template-result4-3,data/templates/result4-3.xlsx,c59da470cabd0be23f602c95c8aa9d11ec224a0cdac216b3e1f218e65d006bdc,用户提供：附件/附件5/result4-3.xlsx,原始空白结果模板，不是求解结果,随任务分支codex/T-001-yuchi-model-planning拉取；运行python scripts/check_inputs.py校验，原件只读。
